DESCRIPTIO,SITE,SITEDESCRI,Category,
5 poles for blanket forts,10213,Jordan Park,5 poles for blanket forts,
Ab Board Adjacent To Playground,10751,David Lange Park,Ab Board Adjacent To Playground,
Abacus,10365,Keith Hay Park,Abacus,
Absail embankment,10050,Coyle Park,Absail embankment,
Absail rope wall,10365,Keith Hay Park,Absail rope wall,
Accessible module,21798,Okahu Bay Reserve,Accessible module,
Activity Panel,10050,Coyle Park,Activity Panel,
Activity Panel,10271,Riverside Community Centre,Activity Panel,
Activity panels Xylophone,10377,Arthur Faulkner Reserve,Activity panels Xylophone,
Adjacent To Playcentre-Flying Fox,11198,Takaanini Reserve (aka Taka Reserve),Flying Fox,
Air Walker On High Side Of Reserve,21292,Somerville Park,Air Walker On High Side Of Reserve,
Allsafe tiles,10520,Hamilton Estate Recreation Reserve,Allsafe tiles,
Artificial turf mound,21523,Flat Rock Reserve,Artificial turf mound,
Artificial turf mound,23081,Commissariat Reserve,Artificial turf mound,
Baby swing,10200,Victoria Park,Baby swing,
Baby swing,23096,Kupe North Reserve,Baby swing,
Balance beam,10396,Mt Albert War Memorial Reserve,Balance beam,
Balance beam,10356,Western Park - Freemans Bay,Balance beam,
Balance beam - wooden,10381,Margaret Griffen Park,Balance beam - wooden,
Balance beams,10020,Panmure Basin,Balance beams,
Balance board,10154,Selwyn Reserve - Mission Bay,Balance board,
Balance spica,21383,Kuaka Park,Balance spica,
Balancing logs,10241,Konini Reserve,Balancing logs,
Ball - plastic,10351,Owairaka Park,Ball - plastic,
Ball - plastic,10351,Owairaka Park,Ball - plastic,
Bank Slide (Snr) -22010,22847,Otamariki Park,Bank Slide,
Basket swing,23106,Torino Reserve,Basket swing,
Basket swing,21196,Taylors Park,Basket swing,
Basket swing,10424,Madills Farm Recreation Reserve,Basket swing,
Bespoke Caterpillar,10277,Myers Park,Caterpillar,
Bespoke Creature Bellbird,10277,Myers Park,Creature Bellbird,
Bespoke Creature Fantail,10277,Myers Park,Creature Fantail,
Bespoke Creature Snail,10277,Myers Park,Creature Snail,
Bespoke Flower Canopy Disc,10277,Myers Park,Flower Canopy Disc,
Bespoke Flower Canopy Disc,10277,Myers Park,Flower Canopy Disc,
Bespoke Flower Canopy Disc,10277,Myers Park,Flower Canopy Disc,
Bespoke Flower Canopy Disc,10277,Myers Park,Flower Canopy Disc,
Bespoke Flower Canopy Disc,10277,Myers Park,Flower Canopy Disc,
Bespoke Flower Canopy Disc,10277,Myers Park,Flower Canopy Disc,
Bespoke Flower Canopy Disc,10277,Myers Park,Flower Canopy Disc,
Bespoke Flower Canopy Disc,10277,Myers Park,Flower Canopy Disc,
Bespoke Flower Canopy Disc,10277,Myers Park,Flower Canopy Disc,
