url,facilities,about,name,address
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10113,"playground, toilets",Local Park - Leisure,Achilles Crescent Reserve,"Achilles Crescent, Schnapper Rock"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10494,playground,Local Park - Leisure,Charles Dickens Park,"25R Charles Dickens Drive, Mellons Bay"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10506,playground,Local Park - Leisure,Chichester Reserve,"59R, 63 Chichester Drive, Papakura Central"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10489,"playground, toilets","Children will enjoy open fields for ball games or kite flying, a playground, a skate park and gentle paths for bike riding. There is a short 15-minute walk along a beautifully planted streamside track to Kaurilands Domain.",Ceramco Park,"112-122 Glendale Road, Glen Eden"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10499,playground,,Chatham Hill Reserve,"Chatham Avenue, Paremoremo"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10508,playground,Local Park - Leisure,Children's Forest,"135 Settlement Road, Papakura Central"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10484,playground,Local Park - Leisure,Centorian Reserve,"Centorian Place, Windsor Park"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=375,"Barbecue, tables, playground, boardwalk, pond",Local green open space.,Chalmers Reserve,"22 to 24 Chalmers Street, Avondale"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10490,playground,Local Park - Leisure,Challen Reserve,"2R Challen Close, Takanini"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10483,playground,Esplanade,Centennial Park,"14 Kitchener Road, Waiau Beach"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=370,"Playground, tables, toilets.",Local green open space.,Centennial Park,"90a Marsden Avenue, Balmoral"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10487,"playground, toilets",Local Park - Leisure,Central Park Reserve,"57R Wood Street, Papakura Central"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10479,playground,Local Park - Leisure,Celeste Reserve,"Celeste Place, Totara Vale"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=365,Playground,"This reserve has been developed as an adventure playground for children. The reserve performs a purely local function for casual, active and passive recreation, mainly for children. A number of native and exotic trees, and shrubs have been planted on this reserve.",Celtic Crescent Reserve,"112 Celtic Crescent, Ellerslie"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10473,playground,Local Park - Coastal,Castor Bay Beach Reserve,"Beach Road, Castor Bay"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14451,playground,Local Park - Leisure,Teviot Reserve,"Teviot Place, Totara Vale"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10459,playground,Local Park - Leisure,Carisbrook Reserve,"152 Dominion Road, Papakura Central"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15253,playground,Local Park - Sport,Zita Maria Park,"34B Zita Maria Drive, Massey"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15247,playground,Local Park - Leisure,Yates Park,"79R Yates Road, Mangere East"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15250,playground,,Youngs Park,"Cliff Road, Papakura Central"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15243,playground,,Worthington Road Reserve,"Opposite 50 Worthington Road, Wellsford"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15241,playground,Local Park - Leisure,Wordsworth Road Reserve,"56R Wordsworth Road, Manurewa"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15234,playground,Local Park - Leisure,Woodlands Park,"22A Minnehaha Avenue, Titirangi"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15223,,Natural,Wood Bay Reserve,"Between 59 and 63 Wood Bay Road, Titirangi"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15220,playground,Local Park - Leisure,Withers Reserve,"Between 29 and 31 Withers Road, Glen Eden"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15218,playground,Local Park - Leisure,Wiseley Reserve,"161 Wiseley Road, West Harbour"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15215,playground,Esplanade,Wiri Stream Reserve,"39R Kerrs Road, Manukau Central"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15209,playground,Local Park - Leisure,Wing Park,"7 Wing Crescent, Papakura Central"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15207,"playground, toilets",Premier Park - Leisure,Windsor Reserve,"Victoria Road, Windsor Park"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15208,playground,Local Park - Leisure,Windy Ridge Reserve,"Windy Ridge Road, Glenfield"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15205,,Local Park - Leisure,Windrush Park,"52R Heyford Close, Mangere"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15190,"BBQ,playground, toilets",,William Fraser Reserve,"33 Broadlands Drive, Omaha"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15187,playground,Local Park - Leisure,Wilencote Reserve,"7R Wilencote Place, Papakura Central"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15180,"playground, toilets",Local Park - Sport,Whitford War Memorial Domain,"53R Whitford Maraetai  Road, Whitford"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15176,,Local Park - Coastal,Whitford Point Reserve,"1482R Clevedon Kawakawa Road, Clevedon"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15170,playground,,Whenuapai Hall Reserve,"41-43 Waimarie Road, Whenuapai"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15174,playground,Local Park - Leisure,Whiteacres Park,"20R Whiteacres Drive, Pakuranga"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2385,"Playground, boardwalk",Big local reserve.,Wharua Reserve,"6 Wharua Road, Remuera"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15163,playground,Local Park - Coastal,Wharf Reserve,"Wharf Road, Albany"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15161,"BBQ,playground, toilets",,Whangateau Reserve,"533 Leigh Road, Whangateau"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15151,,Local Park - Leisure,Weymouth Park,"454R Weymouth Road, Weymouth"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2375,,,Western Springs Park (Lakeside),"859 Great North Road, Western Springs"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2365,,,Western Park,"5 to 7 Ponsonby Road, Beresford Street, Freemans Bay"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2355,"Playground, tables",Small local reserve.,West Tamaki Reserve,"199a West Tamaki Road, Glen Innes"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2350,,Medium local reserve.,West Reserve,"21 Currie Avenue, Mt Roskill"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15137,playground,Premier Park - Leisure,West Harbour Esplanade,"93-97 West Harbour Drive, West Harbour"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15129,playground,,Wellsford War Memorial Park,"81 Rodney Street, Wellsford"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15126,"playground, toilets",,Wellsford Centennial Park,"83 Centennial Park Road, Wellsford"
