url,facilities,about,name,address,geocode_address_suburb,long_suburb,lat_suburb,geocode_address_no_suburb,long_no_suburb,lat_no_suburb,dist_suburb,dist_no_suburb,ratio_suburb,ratio_no_suburb
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10113,"playground, toilets",Local Park - Leisure,Achilles Crescent Reserve,"Achilles Crescent, Schnapper Rock","Schnapper Rock Rd, Auckland 0632, New Zealand",-36.7563455,174.6911481,"Achilles Crescent Reserve, Auckland 0624, New Zealand",-36.8141416,174.7960028,36,5,0.6727272727272727,0.9504950495049505
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10494,playground,Local Park - Leisure,Charles Dickens Park,"25R Charles Dickens Drive, Mellons Bay","25 Charles Dickens Dr, Mellons Bay, Auckland 2014, New Zealand",-36.8828713,174.9222209,"25 Charles Dickens Dr, Mellons Bay, Auckland 2014, New Zealand",-36.8828713,174.9222209,6,18,0.95,0.8301886792452831
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10506,playground,Local Park - Leisure,Chichester Reserve,"59R, 63 Chichester Drive, Papakura Central","59/63 Chichester Dr, Rosehill, Papakura 2113, New Zealand",-37.0774456,174.9313281,"59/63 Chichester Dr, Rosehill, Papakura 2113, New Zealand",-37.0774456,174.9313281,27,23,0.7166666666666667,0.7128712871287128
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10489,"playground, toilets","Children will enjoy open fields for ball games or kite flying, a playground, a skate park and gentle paths for bike riding. There is a short 15-minute walk along a beautifully planted streamside track to Kaurilands Domain.",Ceramco Park,"112-122 Glendale Road, Glen Eden","112/120-122 Glendale Rd, Glen Eden, Auckland 0602, New Zealand",-36.9206835,174.6491578,"112/120-122 Glendale Rd, Glen Eden, Auckland 0602, New Zealand",-36.9206835,174.6491578,10,20,0.9137931034482759,0.8076923076923077
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10499,playground,,Chatham Hill Reserve,"Chatham Avenue, Paremoremo","Chatham Ave, Paremoremo, Auckland 0632, New Zealand",-36.7667761,174.6525103,"Chatham Ave, Mount Albert, Auckland 1025, New Zealand",-36.8746944,174.7171547,16,20,0.8411214953271028,0.7083333333333334
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10508,playground,Local Park - Leisure,Children's Forest,"135 Settlement Road, Papakura Central","135 Settlement Rd, Papakura, Papakura 2110, New Zealand",-37.0650272,174.9747958,"135 Settlement Rd, Papakura, Papakura 2110, New Zealand",-37.0650272,174.9747958,17,19,0.7894736842105263,0.7578947368421053
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10484,playground,Local Park - Leisure,Centorian Reserve,"Centorian Place, Windsor Park","Centorian Dr, Windsor Park, Auckland 0632, New Zealand",-36.7443296,174.7369858,"Centorian Dr, Windsor Park, Auckland 0632, New Zealand",-36.7443296,174.7369858,12,18,0.8807339449541285,0.7659574468085106
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=375,"Barbecue, tables, playground, boardwalk, pond",Local green open space.,Chalmers Reserve,"22 to 24 Chalmers Street, Avondale","22 Chalmers St, Avondale, Auckland 0600, New Zealand",-36.9006446,174.6993047,"22 Chalmers St, Avondale, Auckland 0600, New Zealand",-36.9006446,174.6993047,6,15,0.94,0.8314606741573034
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10490,playground,Local Park - Leisure,Challen Reserve,"2R Challen Close, Takanini","2 Challen Cl, Conifer Grove, Takanini 2112, New Zealand",-37.0394513,174.9137753,"2 Challen Cl, Conifer Grove, Takanini 2112, New Zealand",-37.0394513,174.9137753,22,25,0.7307692307692307,0.7096774193548387
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10483,playground,Esplanade,Centennial Park,"14 Kitchener Road, Waiau Beach","Waiau St, Torbay, Auckland 0630, New Zealand",-36.6928858,174.7536348,"14 Kitchener Rd, Takapuna, Auckland 0622, New Zealand",-36.7758462,174.7743705,28,15,0.6458333333333334,0.8351648351648352
